Housing type,Occupancy status,Income tenant,Heating energy,Energy performance,NB_LOG
Single-family,Privately rented,D3,Natural gas,B,2806.088545
Multi-family,Social-housing,D3,Natural gas,B,36414.02724
Single-family,Social-housing,D3,Natural gas,B,8006.188749
Multi-family,Owner-occupied,D3,Natural gas,B,7108.601746
Single-family,Owner-occupied,D3,Natural gas,B,11726.42762
Multi-family,Privately rented,D4,Natural gas,B,12735.56809
Single-family,Privately rented,D4,Natural gas,B,3084.756381
Multi-family,Social-housing,D4,Natural gas,B,29734.05067
Single-family,Social-housing,D4,Natural gas,B,5973.849161
Multi-family,Owner-occupied,D4,Natural gas,B,8441.49133
Single-family,Owner-occupied,D4,Natural gas,B,14690.47637
Multi-family,Privately rented,D5,Natural gas,B,13170.65142
Single-family,Privately rented,D5,Natural gas,B,3123.342585
Multi-family,Social-housing,D5,Natural gas,B,24783.77568
Single-family,Social-housing,D5,Natural gas,B,5062.58952
Multi-family,Owner-occupied,D5,Natural gas,B,10233.61021
Single-family,Owner-occupied,D5,Natural gas,B,17823.25384
Multi-family,Privately rented,D6,Natural gas,B,13972.40458
Single-family,Privately rented,D6,Natural gas,B,3275.319408
Multi-family,Social-housing,D6,Natural gas,B,19034.35279
Single-family,Social-housing,D6,Natural gas,B,3342.661547
Multi-family,Owner-occupied,D6,Natural gas,B,13220.11549
Single-family,Owner-occupied,D6,Natural gas,B,20468.71579
Multi-family,Privately rented,D7,Natural gas,B,14723.03195
Single-family,Privately rented,D7,Natural gas,B,3364.565648
Multi-family,Social-housing,D7,Natural gas,B,14506.30831
Single-family,Social-housing,D7,Natural gas,B,2590.944876
Multi-family,Owner-occupied,D7,Natural gas,B,15080.43952
Single-family,Owner-occupied,D7,Natural gas,B,22925.42571
Multi-family,Privately rented,D8,Natural gas,B,14071.54489
Single-family,Privately rented,D8,Natural gas,B,2855.428126
Multi-family,Social-housing,D8,Natural gas,B,9874.980603
Single-family,Social-housing,D8,Natural gas,B,1558.629252
Multi-family,Owner-occupied,D8,Natural gas,B,18218.83767
Single-family,Owner-occupied,D8,Natural gas,B,25292.53154
Multi-family,Privately rented,D9,Natural gas,B,12359.77362
Single-family,Privately rented,D9,Natural gas,B,3007.854803
Multi-family,Social-housing,D9,Natural gas,B,6131.268596
Single-family,Social-housing,D9,Natural gas,B,989.9861064
Multi-family,Owner-occupied,D9,Natural gas,B,20541.59773
Single-family,Owner-occupied,D9,Natural gas,B,28034.55259
Multi-family,Privately rented,D10,Natural gas,B,10743.22635
Single-family,Privately rented,D10,Natural gas,B,2640.800202
Multi-family,Social-housing,D10,Natural gas,B,2464.781642
Single-family,Social-housing,D10,Natural gas,B,485.3633717
Multi-family,Owner-occupied,D10,Natural gas,B,25210.93669
Single-family,Owner-occupied,D10,Natural gas,B,28843.7095
Multi-family,Privately rented,D1,Others,C,11320.0487
Single-family,Privately rented,D1,Others,C,4801.941762
Multi-family,Social-housing,D1,Others,C,44882.35746
Single-family,Social-housing,D1,Others,C,642.5844722
Multi-family,Owner-occupied,D1,Others,C,2865.220912
Single-family,Owner-occupied,D1,Others,C,21144.60464
Multi-family,Privately rented,D2,Others,C,9189.444072
Single-family,Privately rented,D2,Others,C,5349.651594
Multi-family,Social-housing,D2,Others,C,44019.20752
Single-family,Social-housing,D2,Others,C,851.3218059
Multi-family,Owner-occupied,D2,Others,C,4096.018606
Single-family,Owner-occupied,D2,Others,C,30598.06663
Multi-family,Privately rented,D3,Others,C,7441.093373
Single-family,Privately rented,D3,Others,C,5477.226334
Multi-family,Social-housing,D3,Others,C,29405.16737
Single-family,Social-housing,D3,Others,C,721.3436077
Multi-family,Owner-occupied,D3,Others,C,4991.018967
Single-family,Owner-occupied,D3,Others,C,46012.91264
Multi-family,Privately rented,D4,Others,C,7314.858101
Single-family,Privately rented,D4,Others,C,5319.57055
Multi-family,Social-housing,D4,Others,C,25339.49185
Single-family,Social-housing,D4,Others,C,614.5275128
Multi-family,Owner-occupied,D4,Others,C,5923.134113
Single-family,Owner-occupied,D4,Others,C,54203.29283
Multi-family,Privately rented,D5,Others,C,7061.321583
Single-family,Privately rented,D5,Others,C,5112.125899
Multi-family,Social-housing,D5,Others,C,20320.99915
Single-family,Social-housing,D5,Others,C,468.0296596
Multi-family,Owner-occupied,D5,Others,C,6869.325788
Single-family,Owner-occupied,D5,Others,C,60965.4829
Multi-family,Privately rented,D6,Others,C,6997.058232
Single-family,Privately rented,D6,Others,C,5033.334184
Multi-family,Social-housing,D6,Others,C,15922.09488
Single-family,Social-housing,D6,Others,C,329.5618064
Multi-family,Owner-occupied,D6,Others,C,8121.716815
Single-family,Owner-occupied,D6,Others,C,67319.55229
Multi-family,Privately rented,D7,Others,C,7189.281185
Single-family,Privately rented,D7,Others,C,4909.471419
Multi-family,Social-housing,D7,Others,C,13082.94098
Single-family,Social-housing,D7,Others,C,249.3632324
Multi-family,Owner-occupied,D7,Others,C,9317.431795
Single-family,Owner-occupied,D7,Others,C,72779.90288
Multi-family,Privately rented,D8,Others,C,7163.64658
Single-family,Privately rented,D8,Others,C,4498.523687
Multi-family,Social-housing,D8,Others,C,10129.79143
Single-family,Social-housing,D8,Others,C,153.4752021
Multi-family,Owner-occupied,D8,Others,C,11381.09464
Single-family,Owner-occupied,D8,Others,C,79243.73448
Multi-family,Privately rented,D9,Others,C,7127.285028
Single-family,Privately rented,D9,Others,C,4157.882794
Multi-family,Social-housing,D9,Others,C,7331.478778
Single-family,Social-housing,D9,Others,C,78.87956809
Multi-family,Owner-occupied,D9,Others,C,13748.98155
Single-family,Owner-occupied,D9,Others,C,83593.44419
Multi-family,Privately rented,D10,Others,C,8217.547666
Single-family,Privately rented,D10,Others,C,3512.848193
Multi-family,Social-housing,D10,Others,C,3548.447078
Single-family,Social-housing,D10,Others,C,27.65924977
Multi-family,Owner-occupied,D10,Others,C,19722.17611
Single-family,Owner-occupied,D10,Others,C,82644.11393
Multi-family,Privately rented,D1,Electricity,C,29075.7547
Single-family,Privately rented,D1,Electricity,C,6617.250761
Multi-family,Social-housing,D1,Electricity,C,16013.72114
Single-family,Social-housing,D1,Electricity,C,1428.54424
Multi-family,Owner-occupied,D1,Electricity,C,5649.117553
Single-family,Owner-occupied,D1,Electricity,C,14222.46815
Multi-family,Privately rented,D2,Electricity,C,23604.66024
Single-family,Privately rented,D2,Electricity,C,7860.568422
Multi-family,Social-housing,D2,Electricity,C,15801.51123
Single-family,Social-housing,D2,Electricity,C,1551.884369
Multi-family,Owner-occupied,D2,Electricity,C,7645.115126
Single-family,Owner-occupied,D2,Electricity,C,22629.65967
Multi-family,Privately rented,D3,Electricity,C,20480.23731
Single-family,Privately rented,D3,Electricity,C,7675.002375
Multi-family,Social-housing,D3,Electricity,C,11401.4973
Single-family,Social-housing,D3,Electricity,C,1276.338944
Multi-family,Owner-occupied,D3,Electricity,C,9131.560281
Single-family,Owner-occupied,D3,Electricity,C,31802.79411
Multi-family,Privately rented,D4,Electricity,C,20928.96259
Single-family,Privately rented,D4,Electricity,C,7392.046098
Multi-family,Social-housing,D4,Electricity,C,9214.497796
Single-family,Social-housing,D4,Electricity,C,1074.529513
Multi-family,Owner-occupied,D4,Electricity,C,10849.06108
Single-family,Owner-occupied,D4,Electricity,C,38239.12572
Multi-family,Privately rented,D5,Electricity,C,21000.52163
Single-family,Privately rented,D5,Electricity,C,7680.421621
Multi-family,Social-housing,D5,Electricity,C,7792.928178
Single-family,Social-housing,D5,Electricity,C,843.5374393
Multi-family,Owner-occupied,D5,Electricity,C,12196.5934
Single-family,Owner-occupied,D5,Electricity,C,44595.91227
Multi-family,Privately rented,D6,Electricity,C,21673.98881
Single-family,Privately rented,D6,Electricity,C,7625.835251
Multi-family,Social-housing,D6,Electricity,C,5771.590938
Single-family,Social-housing,D6,Electricity,C,581.3082434
Multi-family,Owner-occupied,D6,Electricity,C,14609.09945
Single-family,Owner-occupied,D6,Electricity,C,51064.98592
Multi-family,Privately rented,D7,Electricity,C,21501.11076
Single-family,Privately rented,D7,Electricity,C,7585.744884
Multi-family,Social-housing,D7,Electricity,C,4773.707278
Single-family,Social-housing,D7,Electricity,C,453.4615908
Multi-family,Owner-occupied,D7,Electricity,C,16849.57407
Single-family,Owner-occupied,D7,Electricity,C,56348.0366
Multi-family,Privately rented,D8,Electricity,C,20609.1032
Single-family,Privately rented,D8,Electricity,C,7103.320926
Multi-family,Social-housing,D8,Electricity,C,3444.862957
Single-family,Social-housing,D8,Electricity,C,286.2223572
Multi-family,Owner-occupied,D8,Electricity,C,20904.78306
Single-family,Owner-occupied,D8,Electricity,C,62847.06287
Multi-family,Privately rented,D9,Electricity,C,18816.8345
Single-family,Privately rented,D9,Electricity,C,6923.092011
Multi-family,Social-housing,D9,Electricity,C,2228.176254
Single-family,Social-housing,D9,Electricity,C,180.9118126
Multi-family,Owner-occupied,D9,Electricity,C,24009.95999
Single-family,Owner-occupied,D9,Electricity,C,69819.31339
Multi-family,Privately rented,D10,Electricity,C,16926.36571
Single-family,Privately rented,D10,Electricity,C,6429.63427
Multi-family,Social-housing,D10,Electricity,C,1142.536476
Single-family,Social-housing,D10,Electricity,C,38.14573819
Multi-family,Owner-occupied,D10,Electricity,C,32654.31993
Single-family,Owner-occupied,D10,Electricity,C,76911.67012
Multi-family,Privately rented,D1,Natural gas,C,61176.07092
Single-family,Privately rented,D1,Natural gas,C,14766.26909
Multi-family,Social-housing,D1,Natural gas,C,156418.8668
Single-family,Social-housing,D1,Natural gas,C,27848.80894
Multi-family,Owner-occupied,D1,Natural gas,C,19320.38491
Single-family,Owner-occupied,D1,Natural gas,C,30211.74801
Multi-family,Privately rented,D2,Natural gas,C,48245.6022
Single-family,Privately rented,D2,Natural gas,C,17334.37597
Multi-family,Social-housing,D2,Natural gas,C,153205.008
Single-family,Social-housing,D2,Natural gas,C,35798.16974
Multi-family,Owner-occupied,D2,Natural gas,C,24239.49234
Single-family,Owner-occupied,D2,Natural gas,C,45310.08897
Multi-family,Privately rented,D3,Natural gas,C,41785.09233
Single-family,Privately rented,D3,Natural gas,C,16770.46341
Multi-family,Social-housing,D3,Natural gas,C,105864.5393
Single-family,Social-housing,D3,Natural gas,C,28893.79602
Multi-family,Owner-occupied,D3,Natural gas,C,29648.97429
Single-family,Owner-occupied,D3,Natural gas,C,69307.65913
Multi-family,Privately rented,D4,Natural gas,C,41843.45959
Single-family,Privately rented,D4,Natural gas,C,16616.94406
