,subsidies,restriction_gas,carbon_tax,obligation,cee,zero_interest_loan
S289,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S290,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S291,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S292,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S293,no_subsidies,restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S294,no_subsidies,restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S295,no_subsidies,restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S296,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S297,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S298,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S299,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S300,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S301,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S302,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S303,no_subsidies,restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S304,no_subsidies,restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S305,no_subsidies,restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S306,no_subsidies,restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S307,no_subsidies,restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S308,no_subsidies,restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S309,no_subsidies,restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S310,no_subsidies,restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S311,no_subsidies,restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S312,no_subsidies,restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S313,no_subsidies,restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S314,no_subsidies,restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S315,no_subsidies,restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S316,no_subsidies,restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S317,no_subsidies,restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S318,no_subsidies,restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S319,no_subsidies,restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S320,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S321,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S322,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S323,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S324,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S325,no_subsidies,restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S326,no_subsidies,restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S327,no_subsidies,restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S328,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S329,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S330,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S331,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S332,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S333,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S334,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S335,no_subsidies,restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S336,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2024,zero_interest_loan
S337,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2024,no_zero_interest_loan
S338,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2021,zero_interest_loan
S339,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2021,no_zero_interest_loan
S340,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2018,zero_interest_loan
S341,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,cee_2018,no_zero_interest_loan
S342,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,no_cee,zero_interest_loan
S343,no_subsidies,no_restriction_gas,carbon_tax_high,obligation,no_cee,no_zero_interest_loan
S344,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,zero_interest_loan
S345,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2024,no_zero_interest_loan
S346,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,zero_interest_loan
S347,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2021,no_zero_interest_loan
S348,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,zero_interest_loan
S349,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,cee_2018,no_zero_interest_loan
S350,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,zero_interest_loan
S351,no_subsidies,no_restriction_gas,carbon_tax_high,no_obligation,no_cee,no_zero_interest_loan
S352,no_subsidies,no_restriction_gas,carbon_tax,obligation,cee_2024,zero_interest_loan
S353,no_subsidies,no_restriction_gas,carbon_tax,obligation,cee_2024,no_zero_interest_loan
S354,no_subsidies,no_restriction_gas,carbon_tax,obligation,cee_2021,zero_interest_loan
S355,no_subsidies,no_restriction_gas,carbon_tax,obligation,cee_2021,no_zero_interest_loan
S356,no_subsidies,no_restriction_gas,carbon_tax,obligation,cee_2018,zero_interest_loan
S357,no_subsidies,no_restriction_gas,carbon_tax,obligation,cee_2018,no_zero_interest_loan
S358,no_subsidies,no_restriction_gas,carbon_tax,obligation,no_cee,zero_interest_loan
S359,no_subsidies,no_restriction_gas,carbon_tax,obligation,no_cee,no_zero_interest_loan
S360,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,cee_2024,zero_interest_loan
S361,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S362,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,cee_2021,zero_interest_loan
S363,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S364,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,cee_2018,zero_interest_loan
S365,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S366,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,no_cee,zero_interest_loan
S367,no_subsidies,no_restriction_gas,carbon_tax,no_obligation,no_cee,no_zero_interest_loan
S368,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2024,zero_interest_loan
S369,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2024,no_zero_interest_loan
S370,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2021,zero_interest_loan
S371,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2021,no_zero_interest_loan
S372,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2018,zero_interest_loan
S373,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,cee_2018,no_zero_interest_loan
S374,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,no_cee,zero_interest_loan
S375,no_subsidies,no_restriction_gas,no_carbon_tax,obligation,no_cee,no_zero_interest_loan
S376,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,zero_interest_loan
S377,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2024,no_zero_interest_loan
S378,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,zero_interest_loan
S379,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2021,no_zero_interest_loan
S380,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,zero_interest_loan
S381,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,cee_2018,no_zero_interest_loan
S382,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,zero_interest_loan
S383,no_subsidies,no_restriction_gas,no_carbon_tax,no_obligation,no_cee,no_zero_interest_loan
