Housing type,Energy performance,Heating energy,Occupancy status,Income owner,Income tenant,Stock buildings
Multi-family,A,Electricity,Privately rented,D9,D5,856.0797919967418
Single-family,A,Electricity,Privately rented,D1,D5,169.19795647039277
Single-family,A,Electricity,Privately rented,D10,D5,1082.5455069851914
Single-family,A,Electricity,Privately rented,D2,D5,154.88427373232082
Single-family,A,Electricity,Privately rented,D3,D5,236.37860270007468
Single-family,A,Electricity,Privately rented,D4,D5,293.23189333860154
Single-family,A,Electricity,Privately rented,D5,D5,384.6122977963599
Single-family,A,Electricity,Privately rented,D6,D5,368.52778324881746
Single-family,A,Electricity,Privately rented,D7,D5,409.017681295184
Single-family,A,Electricity,Privately rented,D8,D5,560.1370911521059
Single-family,A,Electricity,Privately rented,D9,D5,723.3555352809516
Multi-family,A,Electricity,Privately rented,D1,D6,152.88644616284532
Multi-family,A,Electricity,Privately rented,D10,D6,1678.777286604556
Multi-family,A,Electricity,Privately rented,D2,D6,92.53471829420806
Multi-family,A,Electricity,Privately rented,D3,D6,108.71201644557058
Multi-family,A,Electricity,Privately rented,D4,D6,150.48434480677483
Multi-family,A,Electricity,Privately rented,D5,D6,221.34101448580648
Multi-family,A,Electricity,Privately rented,D6,D6,279.29503684176046
Multi-family,A,Electricity,Privately rented,D7,D6,356.33085405892666
Multi-family,A,Electricity,Privately rented,D8,D6,511.1276437916286
Multi-family,A,Electricity,Privately rented,D9,D6,854.3706865079224
Single-family,A,Electricity,Privately rented,D1,D6,167.13054312954912
Single-family,A,Electricity,Privately rented,D10,D6,1356.2239938027599
Single-family,A,Electricity,Privately rented,D2,D6,185.7582717000585
Single-family,A,Electricity,Privately rented,D3,D6,242.58094621278124
Single-family,A,Electricity,Privately rented,D4,D6,340.29321797085913
Single-family,A,Electricity,Privately rented,D5,D6,361.84252711850104
Single-family,A,Electricity,Privately rented,D6,D6,422.51416183176735
Single-family,A,Electricity,Privately rented,D7,D6,528.7171324243105
Single-family,A,Electricity,Privately rented,D8,D6,667.3526049683632
Single-family,A,Electricity,Privately rented,D9,D6,932.1335308410507
Multi-family,A,Electricity,Privately rented,D1,D7,110.45169200424556
Multi-family,A,Electricity,Privately rented,D10,D7,1851.8007150856968
Multi-family,A,Electricity,Privately rented,D2,D7,78.14782580000443
Multi-family,A,Electricity,Privately rented,D3,D7,105.77289744085046
Multi-family,A,Electricity,Privately rented,D4,D7,133.86340070510423
Multi-family,A,Electricity,Privately rented,D5,D7,203.97649681378505
Multi-family,A,Electricity,Privately rented,D6,D7,277.26236458742244
Multi-family,A,Electricity,Privately rented,D7,D7,393.63475691938544
Multi-family,A,Electricity,Privately rented,D8,D7,509.11608273706037
Multi-family,A,Electricity,Privately rented,D9,D7,899.0228629064459
Single-family,A,Electricity,Privately rented,D1,D7,164.60893794663068
Single-family,A,Electricity,Privately rented,D10,D7,1396.6745292311773
Single-family,A,Electricity,Privately rented,D2,D7,143.28457938574223
Single-family,A,Electricity,Privately rented,D3,D7,181.52612860444862
Single-family,A,Electricity,Privately rented,D4,D7,243.41763960788083
Single-family,A,Electricity,Privately rented,D5,D7,349.1146838526613
Single-family,A,Electricity,Privately rented,D6,D7,424.6179286021127
Single-family,A,Electricity,Privately rented,D7,D7,501.97996229056014
Single-family,A,Electricity,Privately rented,D8,D7,606.8591142730859
Single-family,A,Electricity,Privately rented,D9,D7,858.4509332057002
Multi-family,A,Electricity,Privately rented,D1,D8,141.84485400279448
Multi-family,A,Electricity,Privately rented,D10,D8,1865.8864715618856
Multi-family,A,Electricity,Privately rented,D2,D8,65.56354306448684
Multi-family,A,Electricity,Privately rented,D3,D8,90.64593606657701
Multi-family,A,Electricity,Privately rented,D4,D8,112.4784664811683
Multi-family,A,Electricity,Privately rented,D5,D8,120.23706119571384
Multi-family,A,Electricity,Privately rented,D6,D8,185.31416982362876
Multi-family,A,Electricity,Privately rented,D7,D8,309.4682732983302
Multi-family,A,Electricity,Privately rented,D8,D8,469.50537118425285
Multi-family,A,Electricity,Privately rented,D9,D8,779.7957793211621
Single-family,A,Electricity,Privately rented,D1,D8,87.39828437539737
Single-family,A,Electricity,Privately rented,D10,D8,1104.706673115128
Single-family,A,Electricity,Privately rented,D2,D8,109.08392382686242
Single-family,A,Electricity,Privately rented,D3,D8,151.8188119390129
Single-family,A,Electricity,Privately rented,D4,D8,161.2880525144102
Single-family,A,Electricity,Privately rented,D5,D8,223.9682152814898
Single-family,A,Electricity,Privately rented,D6,D8,305.54783170716115
Single-family,A,Electricity,Privately rented,D7,D8,406.0531403026108
Single-family,A,Electricity,Privately rented,D8,D8,526.3468299647873
Single-family,A,Electricity,Privately rented,D9,D8,680.3382839731403
Multi-family,A,Electricity,Privately rented,D1,D9,121.72017378543445
Multi-family,A,Electricity,Privately rented,D10,D9,1981.6468806048679
Multi-family,A,Electricity,Privately rented,D2,D9,68.82376874102036
Multi-family,A,Electricity,Privately rented,D3,D9,86.6001199080331
Multi-family,A,Electricity,Privately rented,D4,D9,77.30763188678995
Multi-family,A,Electricity,Privately rented,D5,D9,109.45067858461029
Multi-family,A,Electricity,Privately rented,D6,D9,179.32265564912163
Multi-family,A,Electricity,Privately rented,D7,D9,261.00311659580666
Multi-family,A,Electricity,Privately rented,D8,D9,395.9173149725074
Multi-family,A,Electricity,Privately rented,D9,D9,725.8076372718082
Single-family,A,Electricity,Privately rented,D1,D9,107.0942841544896
Single-family,A,Electricity,Privately rented,D10,D9,1291.8709756681835
Single-family,A,Electricity,Privately rented,D2,D9,121.87625467413208
Single-family,A,Electricity,Privately rented,D3,D9,150.82677230028062
Single-family,A,Electricity,Privately rented,D4,D9,131.45921380592725
Single-family,A,Electricity,Privately rented,D5,D9,170.7818895421217
Single-family,A,Electricity,Privately rented,D6,D9,283.1915935461819
Single-family,A,Electricity,Privately rented,D7,D9,355.2792256966353
Single-family,A,Electricity,Privately rented,D8,D9,483.5588318253456
Single-family,A,Electricity,Privately rented,D9,D9,746.9560397867028
Multi-family,A,Electricity,Privately rented,D1,D10,97.53003758107428
Multi-family,A,Electricity,Privately rented,D10,D10,1564.3411429849266
Multi-family,A,Electricity,Privately rented,D2,D10,48.96074319771859
Multi-family,A,Electricity,Privately rented,D3,D10,38.883441194536736
Multi-family,A,Electricity,Privately rented,D4,D10,49.985027123779616
Multi-family,A,Electricity,Privately rented,D5,D10,78.21966524022505
Multi-family,A,Electricity,Privately rented,D6,D10,106.05269092706355
Multi-family,A,Electricity,Privately rented,D7,D10,148.467070105425
Multi-family,A,Electricity,Privately rented,D8,D10,230.90224599143073
Multi-family,A,Electricity,Privately rented,D9,D10,426.6771416538198
Single-family,A,Electricity,Privately rented,D1,D10,102.76604389229969
Single-family,A,Electricity,Privately rented,D10,D10,1272.8833958693765
Single-family,A,Electricity,Privately rented,D2,D10,68.62945351426163
Single-family,A,Electricity,Privately rented,D3,D10,73.48629239676166
Single-family,A,Electricity,Privately rented,D4,D10,84.17523363045217
Single-family,A,Electricity,Privately rented,D5,D10,94.81894148217751
Single-family,A,Electricity,Privately rented,D6,D10,117.75143800036773
Single-family,A,Electricity,Privately rented,D7,D10,160.35829828009986
Single-family,A,Electricity,Privately rented,D8,D10,292.4428278471752
Single-family,A,Electricity,Privately rented,D9,D10,508.8896280870282
Multi-family,A,Natural gas,Privately rented,D1,D1,149.71207072128252
Multi-family,A,Natural gas,Privately rented,D10,D1,948.4458859319994
Multi-family,A,Natural gas,Privately rented,D2,D1,127.21194564618871
Multi-family,A,Natural gas,Privately rented,D3,D1,135.20402003334272
Multi-family,A,Natural gas,Privately rented,D4,D1,132.69879897818092
Multi-family,A,Natural gas,Privately rented,D5,D1,167.15586984276518
Multi-family,A,Natural gas,Privately rented,D6,D1,194.6435096538532
Multi-family,A,Natural gas,Privately rented,D7,D1,264.8539677585527
Multi-family,A,Natural gas,Privately rented,D8,D1,346.7993157227597
Multi-family,A,Natural gas,Privately rented,D9,D1,528.9255207110749
Single-family,A,Natural gas,Privately rented,D1,D1,35.31900905682677
Single-family,A,Natural gas,Privately rented,D10,D1,103.92131867318457
Single-family,A,Natural gas,Privately rented,D2,D1,27.827993081856796
Single-family,A,Natural gas,Privately rented,D3,D1,35.109399662913205
Single-family,A,Natural gas,Privately rented,D4,D1,30.377103755332115
Single-family,A,Natural gas,Privately rented,D5,D1,34.38833609686817
Single-family,A,Natural gas,Privately rented,D6,D1,39.88626228166672
Single-family,A,Natural gas,Privately rented,D7,D1,40.516273026668564
Single-family,A,Natural gas,Privately rented,D8,D1,53.670901299798
Single-family,A,Natural gas,Privately rented,D9,D1,62.00910926488508
Multi-family,A,Natural gas,Privately rented,D1,D2,149.8346261120287
Multi-family,A,Natural gas,Privately rented,D10,D2,943.7864423403282
Multi-family,A,Natural gas,Privately rented,D2,D2,118.97004125601472
Multi-family,A,Natural gas,Privately rented,D3,D2,119.18239776985824
Multi-family,A,Natural gas,Privately rented,D4,D2,97.3595762351206
Multi-family,A,Natural gas,Privately rented,D5,D2,156.8715107048068
Multi-family,A,Natural gas,Privately rented,D6,D2,190.2272685765
Multi-family,A,Natural gas,Privately rented,D7,D2,234.4013540051261
Multi-family,A,Natural gas,Privately rented,D8,D2,351.737870517669
Multi-family,A,Natural gas,Privately rented,D9,D2,528.3456784825472
Single-family,A,Natural gas,Privately rented,D1,D2,41.56370165552266
Single-family,A,Natural gas,Privately rented,D10,D2,140.96927715046868
Single-family,A,Natural gas,Privately rented,D2,D2,38.18423656201322
Single-family,A,Natural gas,Privately rented,D3,D2,29.05953561235289
Single-family,A,Natural gas,Privately rented,D4,D2,40.94503688870878
Single-family,A,Natural gas,Privately rented,D5,D2,46.75618653802937
Single-family,A,Natural gas,Privately rented,D6,D2,50.92765864149368
Single-family,A,Natural gas,Privately rented,D7,D2,62.897258998640964
Single-family,A,Natural gas,Privately rented,D8,D2,77.60572162762341
Single-family,A,Natural gas,Privately rented,D9,D2,104.4969904251464
Multi-family,A,Natural gas,Privately rented,D1,D3,109.80110217426582
Multi-family,A,Natural gas,Privately rented,D10,D3,925.9812823625351
Multi-family,A,Natural gas,Privately rented,D2,D3,85.13446908570778
Multi-family,A,Natural gas,Privately rented,D3,D3,102.6831456549227
Multi-family,A,Natural gas,Privately rented,D4,D3,114.30381356089455
Multi-family,A,Natural gas,Privately rented,D5,D3,130.51984610491257
Multi-family,A,Natural gas,Privately rented,D6,D3,175.4730273559238
Multi-family,A,Natural gas,Privately rented,D7,D3,251.15012145808646
Multi-family,A,Natural gas,Privately rented,D8,D3,303.70913735568723
Multi-family,A,Natural gas,Privately rented,D9,D3,528.2290368870639
Single-family,A,Natural gas,Privately rented,D1,D3,28.773435211135364
Single-family,A,Natural gas,Privately rented,D10,D3,159.68488551217283
Single-family,A,Natural gas,Privately rented,D2,D3,35.837019834124014
Single-family,A,Natural gas,Privately rented,D3,D3,41.17651864560273
Single-family,A,Natural gas,Privately rented,D4,D3,30.46807028833372
Single-family,A,Natural gas,Privately rented,D5,D3,41.9555160709327
Single-family,A,Natural gas,Privately rented,D6,D3,44.36241932315942
Single-family,A,Natural gas,Privately rented,D7,D3,65.4707104288171
Single-family,A,Natural gas,Privately rented,D8,D3,78.6404641180317
Single-family,A,Natural gas,Privately rented,D9,D3,98.71325696769048
Multi-family,A,Natural gas,Privately rented,D1,D4,132.25242787608656
Multi-family,A,Natural gas,Privately rented,D10,D4,1212.2412961588582
Multi-family,A,Natural gas,Privately rented,D2,D4,106.08446132457016
Multi-family,A,Natural gas,Privately rented,D3,D4,112.54398010498363
Multi-family,A,Natural gas,Privately rented,D4,D4,140.98676826230562
Multi-family,A,Natural gas,Privately rented,D5,D4,167.93425044305687
Multi-family,A,Natural gas,Privately rented,D6,D4,203.64882824741855
Multi-family,A,Natural gas,Privately rented,D7,D4,284.33328788776424
Multi-family,A,Natural gas,Privately rented,D8,D4,417.6451822040548
Multi-family,A,Natural gas,Privately rented,D9,D4,620.7744274909014
Single-family,A,Natural gas,Privately rented,D1,D4,25.339605268482554
Single-family,A,Natural gas,Privately rented,D10,D4,165.16397626820424
Single-family,A,Natural gas,Privately rented,D2,D4,31.991828623428493
Single-family,A,Natural gas,Privately rented,D3,D4,45.17681000504997
Single-family,A,Natural gas,Privately rented,D4,D4,40.39193861194527
Single-family,A,Natural gas,Privately rented,D5,D4,40.56904134738341
Single-family,A,Natural gas,Privately rented,D6,D4,56.08660720298218
Single-family,A,Natural gas,Privately rented,D7,D4,62.601126364981916
Single-family,A,Natural gas,Privately rented,D8,D4,80.41007778592873
Single-family,A,Natural gas,Privately rented,D9,D4,111.29747592161327
Multi-family,A,Natural gas,Privately rented,D1,D5,110.35197009161065
Multi-family,A,Natural gas,Privately rented,D10,D5,1207.8417740268424
Multi-family,A,Natural gas,Privately rented,D2,D5,101.90002975588708
Multi-family,A,Natural gas,Privately rented,D3,D5,83.7858799843417
Multi-family,A,Natural gas,Privately rented,D4,D5,138.73766601561542
Multi-family,A,Natural gas,Privately rented,D5,D5,197.77802452044844
Multi-family,A,Natural gas,Privately rented,D6,D5,185.31472185299
Multi-family,A,Natural gas,Privately rented,D7,D5,281.5380959023166
Multi-family,A,Natural gas,Privately rented,D8,D5,403.46714029194067
Multi-family,A,Natural gas,Privately rented,D9,D5,634.0286875580067
Single-family,A,Natural gas,Privately rented,D1,D5,30.103386312720136
Single-family,A,Natural gas,Privately rented,D10,D5,192.60448694353573
Single-family,A,Natural gas,Privately rented,D2,D5,27.556722452171126
Single-family,A,Natural gas,Privately rented,D3,D5,42.05604217440121
Single-family,A,Natural gas,Privately rented,D4,D5,52.171274101214784
Single-family,A,Natural gas,Privately rented,D5,D5,68.42950602191694
Single-family,A,Natural gas,Privately rented,D6,D5,65.56777905323476
Single-family,A,Natural gas,Privately rented,D7,D5,72.77166654738254
Single-family,A,Natural gas,Privately rented,D8,D5,99.65855140801176
Single-family,A,Natural gas,Privately rented,D9,D5,128.69807398541093
Multi-family,A,Natural gas,Privately rented,D1,D6,125.7427699759903
Multi-family,A,Natural gas,Privately rented,D10,D6,1380.7247894662241
Multi-family,A,Natural gas,Privately rented,D2,D6,76.10597335010432
Multi-family,A,Natural gas,Privately rented,D3,D6,89.4111310755518
Multi-family,A,Natural gas,Privately rented,D4,D6,123.7671410968046
Multi-family,A,Natural gas,Privately rented,D5,D6,182.043817285779
Multi-family,A,Natural gas,Privately rented,D6,D6,229.70860043160565
Multi-family,A,Natural gas,Privately rented,D7,D6,293.0673695531855
Multi-family,A,Natural gas,Privately rented,D8,D6,420.3813179959951
Multi-family,A,Natural gas,Privately rented,D9,D6,702.6845047687597
Single-family,A,Natural gas,Privately rented,D1,D6,27.52421304051398
Single-family,A,Natural gas,Privately rented,D10,D6,223.3523414517284
Single-family,A,Natural gas,Privately rented,D2,D6,30.59195613543198
Single-family,A,Natural gas,Privately rented,D3,D6,39.94990692966622
Single-family,A,Natural gas,Privately rented,D4,D6,56.04183922511289
Single-family,A,Natural gas,Privately rented,D5,D6,59.590728403291635
Single-family,A,Natural gas,Privately rented,D6,D6,69.58255256717145
Single-family,A,Natural gas,Privately rented,D7,D6,87.07279183396275
Single-family,A,Natural gas,Privately rented,D8,D6,109.90423969395707
Single-family,A,Natural gas,Privately rented,D9,D6,153.5101927191637
Multi-family,A,Natural gas,Privately rented,D1,D7,93.03848971015015
Multi-family,A,Natural gas,Privately rented,D10,D7,1559.8560660268274
Multi-family,A,Natural gas,Privately rented,D2,D7,65.8274722154989
Multi-family,A,Natural gas,Privately rented,D3,D7,89.09732799552825
Multi-family,A,Natural gas,Privately rented,D4,D7,112.75923802587667
Multi-family,A,Natural gas,Privately rented,D5,D7,171.8186915524331
Multi-family,A,Natural gas,Privately rented,D6,D7,233.5507151279063
Multi-family,A,Natural gas,Privately rented,D7,D7,331.57648032946355
Multi-family,A,Natural gas,Privately rented,D8,D7,428.8516596303769
Multi-family,A,Natural gas,Privately rented,D9,D7,757.2878953859391
Single-family,A,Natural gas,Privately rented,D1,D7,29.707535557947086
Single-family,A,Natural gas,Privately rented,D10,D7,252.06260824953875
Single-family,A,Natural gas,Privately rented,D2,D7,25.859055954710733
Single-family,A,Natural gas,Privately rented,D3,D7,32.76063856241844
Single-family,A,Natural gas,Privately rented,D4,D7,43.93041030631766
Single-family,A,Natural gas,Privately rented,D5,D7,63.005915800981434
Single-family,A,Natural gas,Privately rented,D6,D7,76.63224348473052
Single-family,A,Natural gas,Privately rented,D7,D7,90.59403313785242
Single-family,A,Natural gas,Privately rented,D8,D7,109.52193083085854
Single-family,A,Natural gas,Privately rented,D9,D7,154.92756311464433
Multi-family,A,Natural gas,Privately rented,D1,D8,120.68509205131643
Multi-family,A,Natural gas,Privately rented,D10,D8,1587.5421224185955
Multi-family,A,Natural gas,Privately rented,D2,D8,55.783075710255645
Multi-family,A,Natural gas,Privately rented,D3,D8,77.1237928593241
Multi-family,A,Natural gas,Privately rented,D4,D8,95.69944695211343
Multi-family,A,Natural gas,Privately rented,D5,D8,102.30065024494024
Multi-family,A,Natural gas,Privately rented,D6,D8,157.66985556724754
Multi-family,A,Natural gas,Privately rented,D7,D8,263.30322176675605
Multi-family,A,Natural gas,Privately rented,D8,D8,399.4667225562003
Multi-family,A,Natural gas,Privately rented,D9,D8,663.4694368732504
Single-family,A,Natural gas,Privately rented,D1,D8,16.485151070932655
Single-family,A,Natural gas,Privately rented,D10,D8,208.37086821004894
Single-family,A,Natural gas,Privately rented,D2,D8,20.575517889709847
Single-family,A,Natural gas,Privately rented,D3,D8,28.6362148652047
Single-family,A,Natural gas,Privately rented,D4,D8,30.42231241309172
Single-family,A,Natural gas,Privately rented,D5,D8,42.245106873537985
Single-family,A,Natural gas,Privately rented,D6,D8,57.632735025475796
Single-family,A,Natural gas,Privately rented,D7,D8,76.59014600290566
Single-family,A,Natural gas,Privately rented,D8,D8,99.28006104109032
Single-family,A,Natural gas,Privately rented,D9,D8,128.32608180800236
Multi-family,A,Natural gas,Privately rented,D1,D9,94.5409959076278
Multi-family,A,Natural gas,Privately rented,D10,D9,1539.1603856882343
Multi-family,A,Natural gas,Privately rented,D2,D9,53.45595094501042
Multi-family,A,Natural gas,Privately rented,D3,D9,67.26297972805848
Multi-family,A,Natural gas,Privately rented,D4,D9,60.045432753991015
Multi-family,A,Natural gas,Privately rented,D5,D9,85.0111845419741
Multi-family,A,Natural gas,Privately rented,D6,D9,139.2812869603154
Multi-family,A,Natural gas,Privately rented,D7,D9,202.7231297045275
Multi-family,A,Natural gas,Privately rented,D8,D9,307.51202607183507
Multi-family,A,Natural gas,Privately rented,D9,D9,563.7403786984257
Single-family,A,Natural gas,Privately rented,D1,D9,19.816321809344917
Single-family,A,Natural gas,Privately rented,D10,D9,239.04292551284504
Single-family,A,Natural gas,Privately rented,D2,D9,22.551521797898225
Single-family,A,Natural gas,Privately rented,D3,D9,27.9084162237416
Single-family,A,Natural gas,Privately rented,D4,D9,24.32471635763321
Single-family,A,Natural gas,Privately rented,D5,D9,31.600835741081006
Single-family,A,Natural gas,Privately rented,D6,D9,52.40070276128818
Single-family,A,Natural gas,Privately rented,D7,D9,65.73952591553193
Single-family,A,Natural gas,Privately rented,D8,D9,89.47589967900481
Single-family,A,Natural gas,Privately rented,D9,D9,138.21392410163116
Multi-family,A,Natural gas,Privately rented,D1,D10,83.73122796983718
Multi-family,A,Natural gas,Privately rented,D10,D10,1343.0139894797298
Multi-family,A,Natural gas,Privately rented,D2,D10,42.03364678141319
Multi-family,A,Natural gas,Privately rented,D3,D10,33.38210831924558
Multi-family,A,Natural gas,Privately rented,D4,D10,42.913012288142966
Multi-family,A,Natural gas,Privately rented,D5,D10,67.1529385653036
Multi-family,A,Natural gas,Privately rented,D6,D10,91.04807360959934
Multi-family,A,Natural gas,Privately rented,D7,D10,127.46155339761133
Multi-family,A,Natural gas,Privately rented,D8,D10,198.23358092920105
Multi-family,A,Natural gas,Privately rented,D9,D10,366.3097226599159
Single-family,A,Natural gas,Privately rented,D1,D10,19.82104429059051
Single-family,A,Natural gas,Privately rented,D10,D10,245.50792470638882
Single-family,A,Natural gas,Privately rented,D2,D10,13.236934946827613
Single-family,A,Natural gas,Privately rented,D3,D10,14.17369980568688
Single-family,A,Natural gas,Privately rented,D4,D10,16.235333878460345
Single-family,A,Natural gas,Privately rented,D5,D10,18.288243543507424
Single-family,A,Natural gas,Privately rented,D6,D10,22.711358533291712
Single-family,A,Natural gas,Privately rented,D7,D10,30.929174775908127
Single-family,A,Natural gas,Privately rented,D8,D10,56.405034422646786
Single-family,A,Natural gas,Privately rented,D9,D10,98.15230279669179
Multi-family,B,Electricity,Privately rented,D1,D1,435.0276906215003
Multi-family,B,Electricity,Privately rented,D10,D1,2755.958296806905
Multi-family,B,Electricity,Privately rented,D2,D1,369.6476754834055
Multi-family,B,Electricity,Privately rented,D3,D1,392.870743918492
Multi-family,B,Electricity,Privately rented,D4,D1,385.591167028848
Multi-family,B,Electricity,Privately rented,D5,D1,485.7152244384058
Multi-family,B,Electricity,Privately rented,D6,D1,565.5877718558756
Multi-family,B,Electricity,Privately rented,D7,D1,769.6026739249784
Multi-family,B,Electricity,Privately rented,D8,D1,1007.7163765162053
Multi-family,B,Electricity,Privately rented,D9,D1,1536.931836405384
Single-family,B,Electricity,Privately rented,D1,D1,181.42725601272141
Single-family,B,Electricity,Privately rented,D10,D1,533.8247077590407
Single-family,B,Electricity,Privately rented,D2,D1,142.94728419642354
Single-family,B,Electricity,Privately rented,D3,D1,180.35053109354146
Single-family,B,Electricity,Privately rented,D4,D1,156.04159706395782
Single-family,B,Electricity,Privately rented,D5,D1,176.64656012459912
Single-family,B,Electricity,Privately rented,D6,D1,204.88839612468615
Single-family,B,Electricity,Privately rented,D7,D1,208.1246454922805
Single-family,B,Electricity,Privately rented,D8,D1,275.6975524110813
Single-family,B,Electricity,Privately rented,D9,D1,318.5293937216677
Multi-family,B,Electricity,Privately rented,D1,D2,421.4368226682755
Multi-family,B,Electricity,Privately rented,D10,D2,2654.569039601805
Multi-family,B,Electricity,Privately rented,D2,D2,334.62462903708877
Multi-family,B,Electricity,Privately rented,D3,D2,335.2219199089611
Multi-family,B,Electricity,Privately rented,D4,D2,273.8413111144341
Multi-family,B,Electricity,Privately rented,D5,D2,441.2293256511736
Multi-family,B,Electricity,Privately rented,D6,D2,535.04839124305
Multi-family,B,Electricity,Privately rented,D7,D2,659.2959479686754
Multi-family,B,Electricity,Privately rented,D8,D2,989.3259949955682
Multi-family,B,Electricity,Privately rented,D9,D2,1486.067204810968
Single-family,B,Electricity,Privately rented,D1,D2,199.5041176393604
Single-family,B,Electricity,Privately rented,D10,D2,676.6469330679987
Single-family,B,Electricity,Privately rented,D2,D2,183.28281937383323
Single-family,B,Electricity,Privately rented,D3,D2,139.48461711618768
Single-family,B,Electricity,Privately rented,D4,D2,196.53455132304163
Single-family,B,Electricity,Privately rented,D5,D2,224.42783890523506
Single-family,B,Electricity,Privately rented,D6,D2,244.45073937151906
Single-family,B,Electricity,Privately rented,D7,D2,301.90434582697645
Single-family,B,Electricity,Privately rented,D8,D2,372.5043824393736
Single-family,B,Electricity,Privately rented,D9,D2,501.5814049364745
Multi-family,B,Electricity,Privately rented,D1,D3,299.67529215162233
Multi-family,B,Electricity,Privately rented,D10,D3,2527.2397619334924
Multi-family,B,Electricity,Privately rented,D2,D3,232.3537413580915
Multi-family,B,Electricity,Privately rented,D3,D3,280.24856821882173
Multi-family,B,Electricity,Privately rented,D4,D3,311.9643432043234
Multi-family,B,Electricity,Privately rented,D5,D3,356.2220436639801
Multi-family,B,Electricity,Privately rented,D6,D3,478.9107731738276
Multi-family,B,Electricity,Privately rented,D7,D3,685.4529192468076
Multi-family,B,Electricity,Privately rented,D8,D3,828.8999168854775
Multi-family,B,Electricity,Privately rented,D9,D3,1441.6721491635556
Single-family,B,Electricity,Privately rented,D1,D3,140.6523564572698
Single-family,B,Electricity,Privately rented,D10,D3,780.5830368563144
Single-family,B,Electricity,Privately rented,D2,D3,175.18107417791927
Single-family,B,Electricity,Privately rented,D3,D3,201.28199277260376
Single-family,B,Electricity,Privately rented,D4,D3,148.9361924050489
Single-family,B,Electricity,Privately rented,D5,D3,205.08994350016945
Single-family,B,Electricity,Privately rented,D6,D3,216.85553949891695
Single-family,B,Electricity,Privately rented,D7,D3,320.03859230478423
Single-family,B,Electricity,Privately rented,D8,D3,384.4159207939801
Single-family,B,Electricity,Privately rented,D9,D3,482.5371772329932
Multi-family,B,Electricity,Privately rented,D1,D4,335.75836345495543
Multi-family,B,Electricity,Privately rented,D10,D4,3077.6006176020323
Multi-family,B,Electricity,Privately rented,D2,D4,269.32394130194
Multi-family,B,Electricity,Privately rented,D3,D4,285.7231673067001
Multi-family,B,Electricity,Privately rented,D4,D4,357.93283602254525
Multi-family,B,Electricity,Privately rented,D5,D4,426.3462682864728
Multi-family,B,Electricity,Privately rented,D6,D4,517.0173310991156
Multi-family,B,Electricity,Privately rented,D7,D4,721.8565356426586
Multi-family,B,Electricity,Privately rented,D8,D4,1060.3046396476448
Multi-family,B,Electricity,Privately rented,D9,D4,1576.002869635935
Single-family,B,Electricity,Privately rented,D1,D4,125.61002679207506
Single-family,B,Electricity,Privately rented,D10,D4,818.728281846561
Single-family,B,Electricity,Privately rented,D2,D4,158.5855189115569
Single-family,B,Electricity,Privately rented,D3,D4,223.9443059585843
Single-family,B,Electricity,Privately rented,D4,D4,200.22539567894887
Single-family,B,Electricity,Privately rented,D5,D4,201.10330514547888
Single-family,B,Electricity,Privately rented,D6,D4,278.0248610346672
Single-family,B,Electricity,Privately rented,D7,D4,310.3177447558695
Single-family,B,Electricity,Privately rented,D8,D4,398.5978438900994
Single-family,B,Electricity,Privately rented,D9,D4,551.708630986159
Multi-family,B,Electricity,Privately rented,D1,D5,295.3144302138032
Multi-family,B,Electricity,Privately rented,D10,D5,3232.3220418181118
Multi-family,B,Electricity,Privately rented,D2,D5,272.6960760297031
Multi-family,B,Electricity,Privately rented,D3,D5,224.22054981888382
Multi-family,B,Electricity,Privately rented,D4,D5,371.2777828486559
Multi-family,B,Electricity,Privately rented,D5,D5,529.2765011044248
Multi-family,B,Electricity,Privately rented,D6,D5,495.92328482050027
Multi-family,B,Electricity,Privately rented,D7,D5,753.4279841660251
Multi-family,B,Electricity,Privately rented,D8,D5,1079.7239826927678
Multi-family,B,Electricity,Privately rented,D9,D5,1696.7329214871231
Single-family,B,Electricity,Privately rented,D1,D5,128.26786074002408
Single-family,B,Electricity,Privately rented,D10,D5,820.6706465690269
Single-family,B,Electricity,Privately rented,D2,D5,117.41675176433635
Single-family,B,Electricity,Privately rented,D3,D5,179.19706789343044
Single-family,B,Electricity,Privately rented,D4,D5,222.29717452805608
Single-family,B,Electricity,Privately rented,D5,D5,291.57205962636317
Single-family,B,Electricity,Privately rented,D6,D5,279.37849467384507
Single-family,B,Electricity,Privately rented,D7,D5,310.0736207399682
Single-family,B,Electricity,Privately rented,D8,D5,424.63625390057706
Single-family,B,Electricity,Privately rented,D9,D5,548.3710855643722
Multi-family,B,Electricity,Privately rented,D1,D6,332.02994053636314
Multi-family,B,Electricity,Privately rented,D10,D6,3645.8714074064787
Multi-family,B,Electricity,Privately rented,D2,D6,200.96154880890728
Multi-family,B,Electricity,Privately rented,D3,D6,236.09446920863115
Multi-family,B,Electricity,Privately rented,D4,D6,326.81319575331753
Multi-family,B,Electricity,Privately rented,D5,D6,480.69561247896087
Multi-family,B,Electricity,Privately rented,D6,D6,606.5568060617757
Multi-family,B,Electricity,Privately rented,D7,D6,773.8587379972037
Multi-family,B,Electricity,Privately rented,D8,D6,1110.03745220071
Multi-family,B,Electricity,Privately rented,D9,D6,1855.4728385476508
Single-family,B,Electricity,Privately rented,D1,D6,119.3148019491076
